mileage,make,fuel,gear,offerType,price,hp,year
49950,SEAT,Gasoline,Manual,Used,8690,90.0,2016
98700,Opel,Diesel,Manual,Used,8770,110.0,2016
190543,Mercedes-Benz,Diesel,Manual,Used,8799,90.0,2016
80000,SEAT,Diesel,Manual,Used,8800,110.0,2016
109859,Ford,Gasoline,Manual,Used,8840,125.0,2016
82000,Skoda,Gasoline,Manual,Used,8850,110.0,2016
68300,Renault,Diesel,Manual,Used,8850,110.0,2016
57644,Skoda,Gasoline,Manual,Used,8850,90.0,2016
110412,Opel,Diesel,Manual,Used,8880,95.0,2016
34955,Nissan,Gasoline,Manual,Used,8880,80.0,2016
149889,Opel,Diesel,Automatic,Used,8890,136.0,2016
138965,Volkswagen,Diesel,Manual,Used,8890,110.0,2016
69934,Skoda,Diesel,Manual,Used,8890,90.0,2016
113000,Volkswagen,Diesel,Manual,Used,8900,110.0,2016
3070,Hyundai,Gasoline,Manual,Used,7950,67.0,2017
60300,Peugeot,Gasoline,Manual,Used,7950,82.0,2017
79883,Ford,Gasoline,Manual,Used,7985,101.0,2017
36955,Nissan,Gasoline,Manual,Used,7990,80.0,2017
24162,Hyundai,Gasoline,Manual,Used,7990,67.0,2017
78588,Skoda,Gasoline,Manual,Used,7990,60.0,2017
63200,Renault,Gasoline,Manual,Used,7990,90.0,2017
68753,Nissan,Gasoline,Manual,Used,7990,80.0,2017
29731,Toyota,Gasoline,Manual,Used,7990,69.0,2017
29712,Renault,Gasoline,Manual,Used,7990,69.0,2017
45401,Skoda,Gasoline,Manual,Used,7990,75.0,2017
42341,Ford,Gasoline,Manual,Used,7990,69.0,2017
68360,Toyota,Gasoline,Manual,Used,7990,69.0,2017
28864,Renault,Gasoline,Manual,Used,7995,73.0,2017
42000,Mitsubishi,Gasoline,Manual,Used,8000,80.0,2017
46073,Ford,Gasoline,Manual,Used,8090,71.0,2017
16000,Toyota,Gasoline,Manual,Used,8100,69.0,2017
27547,Fiat,Gasoline,Manual,Used,8190,69.0,2017
28323,Fiat,Gasoline,Manual,Used,8190,69.0,2017
6761,Volkswagen,Gasoline,Manual,Used,19490,125.0,2018
44626,Skoda,Gasoline,Manual,Used,19940,179.0,2018
35000,Honda,Gasoline,Manual,Used,19950,182.0,2018
23100,Mitsubishi,Gasoline,Manual,Used,21490,163.0,2018
29658,Opel,Diesel,Automatic,Used,21680,120.0,2018
86886,Volkswagen,Diesel,Automatic,Used,24869,239.0,2018
47000,Jaguar,Gasoline,Automatic,Used,24950,200.0,2018
37076,Skoda,Gasoline,Automatic,Used,27890,245.0,2018
51136,Volkswagen,Diesel,Automatic,Used,28780,204.0,2018
32900,Volkswagen,Diesel,Automatic,Used,29990,190.0,2018
26890,Audi,Diesel,Automatic,Used,41830,326.0,2018
62302,Dacia,Gasoline,Manual,Used,4700,73.0,2018
3500,Other,Electric,Manual,Used,5500,38.0,2018
84000,Fiat,Gasoline,Manual,Used,5990,69.0,2018
17896,Mitsubishi,Gasoline,Manual,Used,6490,71.0,2018
78000,Volkswagen,Gasoline,Manual,Used,6490,60.0,2018
191533,Opel,Diesel,Manual,Used,6722,105.0,2018
84800,Skoda,Gasoline,Manual,Used,6850,60.0,2018
62608,Volkswagen,Gasoline,Manual,Used,6930,60.0,2018
8100,Mercedes-Benz,Hybrid,Automatic,Demonstration,45890,194.0,2019
50307,Audi,Diesel,Automatic,Used,45950,231.0,2019
26493,Mercedes-Benz,Gasoline,Automatic,Used,46777,367.0,2019
70500,Lexus,Hybrid,Automatic,Used,47490,313.0,2019
14584,Audi,Gasoline,Automatic,Used,48860,245.0,2019
60548,Mercedes-Benz,Diesel,Automatic,Used,48977,340.0,2019
7441,Volvo,Diesel,Automatic,Demonstration,49990,190.0,2019
34444,Audi,Gasoline,Automatic,Used,51980,400.0,2019
24350,Volkswagen,Diesel,Automatic,Used,56450,286.0,2019
15690,Volkswagen,Diesel,Automatic,Employee's car,61950,286.0,2019
2300,Volvo,Hybrid,Automatic,Demonstration,64800,392.0,2019
12100,Mercedes-Benz,Diesel,Automatic,Used,66890,286.0,2019
28744,Volkswagen,Diesel,Automatic,Used,74990,199.0,2019
14500,Volkswagen,Diesel,Automatic,Used,77905,199.0,2019
8770,Jaguar,Gasoline,Automatic,Used,79980,551.0,2019
23864,Ford,Gasoline,Manual,Employee's car,12970,95.0,2020
25885,Ford,Gasoline,Manual,Employee's car,12980,95.0,2020
5,Renault,Gasoline,Manual,Pre-registered,12995,101.0,2020
19990,Ford,Gasoline,Manual,Employee's car,13330,95.0,2020
2438,SEAT,Gasoline,Manual,Demonstration,13950,80.0,2020
50,SEAT,Gasoline,Manual,Pre-registered,14490,95.0,2020
18805,Ford,Gasoline,Manual,Employee's car,14990,101.0,2020
9990,Ford,Gasoline,Manual,Employee's car,15490,101.0,2020
18365,Ford,Gasoline,Manual,Employee's car,15790,101.0,2020
23560,Ford,Gasoline,Manual,Employee's car,15880,125.0,2020
9990,Ford,Hybrid,Manual,Employee's car,15970,125.0,2020
6315,Ford,Hybrid,Manual,Employee's car,16450,125.0,2020
4246,Mazda,Gasoline,Manual,Demonstration,16880,90.0,2020
11570,Ford,Diesel,Manual,Employee's car,19390,150.0,2020
7360,Ford,Diesel,Manual,Employee's car,19790,150.0,2020
5050,Ford,Diesel,Manual,Employee's car,19970,150.0,2020
8125,Ford,Diesel,Manual,Employee's car,19990,150.0,2020
50,Ford,Gasoline,Manual,Pre-registered,19990,125.0,2020
5050,Ford,Diesel,Manual,Employee's car,20385,150.0,2020
135000,smart,Diesel,Automatic,Used,3940,54.0,2011
234730,Opel,Diesel,Automatic,Used,3949,160.0,2011
42571,Hyundai,Gasoline,Manual,Used,3950,69.0,2011
368777,Volkswagen,Other,Manual,Used,3950,109.0,2011
130274,Ford,Gasoline,Manual,Used,3950,150.0,2011
107517,Hyundai,Gasoline,Manual,Used,3950,67.0,2011
199726,Skoda,Diesel,Manual,Used,3980,90.0,2011
178304,Ford,Diesel,Manual,Used,3990,109.0,2011
213990,Hyundai,Diesel,Manual,Used,3990,90.0,2011
103000,Hyundai,Gasoline,Manual,Used,3990,69.0,2011
416000,Opel,Diesel,Manual,Used,3990,160.0,2011
104500,Nissan,Gasoline,Manual,Used,3990,88.0,2011
169500,Renault,Diesel,Manual,Used,3990,106.0,2011
43000,Hyundai,Gasoline,Manual,Used,3990,69.0,2011
51174,Fiat,Gasoline,Manual,Used,3990,69.0,2011
199000,Opel,Diesel,Manual,Used,3999,110.0,2011
110000,smart,Gasoline,Automatic,Used,3999,61.0,2011
99121,Peugeot,Gasoline,Manual,Used,3999,60.0,2011
202000,Ford,Diesel,Manual,Used,3999,95.0,2011
93000,smart,Gasoline,Automatic,Used,4795,71.0,2012
131663,Ford,Gasoline,Manual,Used,4799,60.0,2012
